MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Group
635.0,88.0,546.0,172.0,88.0,88.0,3
11.0,1.0,6.0,2.0,1.0,6.0,1
426.0,49.0,127.0,111.0,21.0,42.0,2
11.0,4.0,20.0,10.0,3.0,5.0,1
173.0,43.0,118.0,46.0,27.0,15.0,1
520.0,42.0,98.0,0.0,42.0,14.0,2
235.0,65.0,164.0,50.0,49.0,27.0,2
76.0,10.0,56.0,3.0,1.0,23.0,1
14.0,0.0,24.0,3.0,3.0,2.0,1
28.0,0.0,6.0,1.0,1.0,13.0,1
194.0,61.0,480.0,225.0,112.0,30.0,3
233.0,2.0,53.0,3.0,5.0,14.0,1
3.0,14.0,17.0,6.0,1.0,5.0,1
1006.0,22.0,115.0,59.0,68.0,45.0,2
53.0,5.0,19.0,2.0,13.0,4.0,1
84.0,5.0,38.0,150.0,12.0,28.0,1
1012.0,80.0,498.0,0.0,16.0,176.0,0
4.0,17.0,19.0,30.0,24.0,39.0,1
86.0,2.0,73.0,69.0,38.0,48.0,1
1.0,1.0,1725.0,1.0,1.0,1.0,2
867.0,0.0,86.0,0.0,0.0,19.0,2
384.0,0.0,102.0,21.0,32.0,5.0,1
270.0,3.0,27.0,39.0,6.0,99.0,0
6.0,4.0,25.0,15.0,12.0,13.0,1
173.0,4.0,30.0,3.0,6.0,41.0,1
36.0,2.0,42.0,20.0,21.0,10.0,1
8.0,4.0,10.0,2.0,2.0,4.0,1
112.0,17.0,44.0,34.0,22.0,89.0,1
110.0,0.0,5.0,2.0,0.0,3.0,1
96.0,12.0,96.0,33.0,22.0,43.0,1
482.0,34.0,471.0,119.0,68.0,22.0,2
40.0,0.0,19.0,2.0,1.0,3.0,1
702.0,17.0,151.0,0.0,8.0,35.0,2
6.0,3.0,14.0,15.0,7.0,36.0,1
55.0,0.0,6.0,2.0,0.0,4.0,1
437.0,8.0,206.0,160.0,49.0,42.0,2
421.0,76.0,536.0,82.0,178.0,102.0,3
13.0,1.0,29.0,3.0,0.0,7.0,1
9.0,0.0,6.0,3.0,1.0,3.0,1
3.0,1.0,10.0,3.0,2.0,12.0,1
123.0,164.0,266.0,227.0,30.0,174.0,3
13.0,6.0,15.0,3.0,5.0,13.0,1
826.0,50.0,317.0,50.0,38.0,38.0,2
245.0,19.0,125.0,37.0,67.0,14.0,1
650.0,37.0,780.0,27.0,167.0,32.0,3
510.0,120.0,550.0,156.0,40.0,241.0,3
328.0,9.0,124.0,12.0,24.0,109.0,0
984.0,51.0,432.0,180.0,120.0,190.0,3
295.0,35.0,482.0,121.0,120.0,40.0,3
13.0,0.0,8.0,2.0,1.0,5.0,1
447.0,0.0,28.0,0.0,0.0,43.0,1
712.0,26.0,538.0,69.0,13.0,80.0,2
